order,hiragana,kanji,meaning,category,example,romaji,level
139,お～,,[polite prefix],atomic,おくに。おかね。おしごと。おでんわ。Country. Money. Job. Phone.,o,2
140,おいしい,美味しい,delicious,iadj,このみせの ラーメンは おいしいです。The ramen in this shop is delicious.,oishii,2
141,おいでにな,お出でになる,"come, go, be [respect]",action,あしたは なんじに おいでになりますか。What time will you come tomorrow?,oideninarimasu,3
142,おおい,多い,many,iadj,このホテルは へやが 多いです。This hotel has many rooms.,ooi,2
143,おおきい,大きい,big,iadj,大きい くるまを かいたいです。I want to buy a big car.,ookii,2
144,おおきな,大きな,big,unit,大きな ショッピングモールにいきました。I went to a big shopping mall.,ookina,4
145,おおぜい,大勢,great number of people,unit,えきの まえに ひとが おおぜい います。There are a lot of people in front of the station.,oozei,4
146,おかあさん,お母さん,(honorable) mother,people,かれの お母さんは にほんじんです。His mom is Japanese.,okaasan,1
147,おかし,お菓子,"sweets, candy",food,にほんの おかしが すきです。I like Japanese sweets.,okashi,1
148,おかね,お金,money,manmade,お金は たいせつです。Money is important.,okane,1
149,おきる,起きる,to get up,action,まいにち 7じに おきます。It wakes up at 7 o'clock every day.,okiru,3
150,おく,置く,to put,action,バッグを テーブルの したに おきます。Place the bag under the table.,oku,3
151,おくさん,奥さん,(honorable) wife,people,かれの おくさんは とても きれいです。His wife is very pretty.,okusan,1
152,おくに,お国,country = くに。,places,お国は どちらですか。Where is your country?,Okuni,1
153,おくる,送る,send,action,メールで データを おくります。We will send you the data by email.,okurimasu,3
154,おげんきで。,,Take care of yourself.,sentence,,ogenkide,2
155,おさけ,お酒,"alcohol, rice wine",food,ときどき おさけを のみます。I drink alcohol sometimes.,osake,1
156,おさら,お皿,"plate, dish",home,おおきい おさらを 5まい かいました。I bought 5 large plates.,osara,1
157,おじいさん,伯父/叔父,"grandfather, male senior citizen",people,かれの おじいさんは いま カナダに います。His grandfather is now in Canada.,ojiisan,1
158,おしえる,教える,"to teach, to tell",action,ともだちに えいごを おしえます。I will teach English to my friends.,oshieru,3
159,おじさん,伯父/叔父,"uncle, middle aged gentleman",people,おじさんは いつ にほんに きますか。When will your uncle come to Japan?,ojisan,1
160,おす,押す,"to push, to stamp something",action,,osu,3
161,おそい,遅い,"late, slow",iadj,"きょうは おそいですね。You are late today, aren't you?",osoi,2
162,おそく,遅く,late [noun],intangible,きのうは おそくまで しごとを しました。I worked late yesterday.,osoku,1
163,おちゃ,お茶,green tea,food,おちゃを のみませんか。Would you like to have a cup of tea?,ocha,1
164,おてあらい,お手洗い,bathroom,home,おてあらいは どこですか。Where is the restroom?,otearai,1
165,おとうさん,お父さん,(honorable) father,people,お父さんは なんさいですか。How old is your father?,otousan,1
166,おとうと,弟,younger brother,people,おとうとは がくせいです。My younger brother is a student.,otouto,2
167,おとうとさん,弟さん,(someone's) younger brother,people,おとうとさんは なんさいですか。How old is your younger brother?,otoutosan,2
168,おとこ,男,man,people,男のひとが 5にん います。 There are 5 men.,otoko,2
169,おとこのこ,男の子,boy,people,男の子が 3にん います。There are 3 boys.,otokonoko,2
170,おととい,一昨日,day before yesterday,time,おととい ともだちに あいました。I met my friend the day before yesterday.,ototoi,2
171,おととし,一昨年,year before last,time,おととし にほんに きました。I came here two years ago.,ototoshi,2
172,おとな,大人,adult,people,"大人は 1,000えん、こどもは 500えんです。Adults are 1,000 yen and children are 500 yen.",otona,2
173,おなか,お腹,stomach,body,おなかが すきました。I'm hungry.,onaka,1
174,おなじ,同じ,same,unit,おなじ いみの ぶんは どれですか。Which sentences have the same meaning?,onaji,4
175,おにいさん,お兄さん,(honorable) older brother,people,おにいさんは にほんに いますか。Is your brother in Japan?,oniisan,2
176,おにぎり,お握り,rice ball,food,コンビニで おにぎりを ふたつ かいました。I bought two rice balls at a convenience store.,onigiri,1
177,おねえさん,お姉さん,(honorable) older sister,people,おねえさんは なにを していますか。What is your sister doing?,oneesan,2
178,おねがいします。,,Please.,sentence,,onegaishimasu,2
179,おばあさん,お祖母さん,"grandmother, female senior-citizen",people,おばあさんは なんさいですか。How old is your grandmother?,obaasan,2
180,おばさん,伯母さん/叔母さん,aunt,people,おばさんは いつ にほんに きますか。When will your aunt come to Japan?,obasan,2
181,おはようございます。,,Good morning.,sentence,,ohayougozaimasu,2
182,おふろ,お風呂,bath,places,,ofuro,1
183,おべんとう,お弁当,boxed lunch,food,おべんとうを つくります。I will make a lunch box.,obentou,1
184,おぼえる,覚える,to remember,action,アプリで あたらしい ことばを おぼえます。Learn new words in the app.,oboeru,3
185,おまわりさん,お巡りさん,friendly term for policeman,people,,omawarisan,2
186,おみせ,お店,shop = みせ。,places,えきの なかの お店で かいました。I bought it at a shop inside the station.,omise,1
187,おもい,重い,heavy,iadj,このノートパソコンはおもいです。This laptop is heavy.,omoi,3
188,おもしろい,面白ろい,interesting,iadj,おもしろいえいがをみました。I watched an interesting movie.,omoshiroi,3
189,おやすみなさい。,,Good night.,sentence,,oyasuminasai,2
190,およぐ,泳ぐ,to swim,action,まいしゅうまつ 500メートル およぎます。I swim 500 meters every weekend.,oyogu,3
191,おりる,降りる,"to get off, to descend",action,つぎの えきで でんしゃを おります。Get off the train at the next station.,oriru,3
